"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Search Bar Functionality","4","0","User searches for multiple-word terms","0"
"1","","0","Product Card","0","0","Display quantity selector when Add button is clicked","0"
"0","","1","Clear all products from the cart","0","0","Clear all products from the cart","0"
"0","","1","Login Page Testing","0","0","Verify login functionality by valid and invalid credentials","0"
"0","","0","Category Navigation","2","0","Navigate to a category and verify products are displayed","0"
"0","","0","My Account Dropdown Links","1","0","Verify each link in the My Account dropdown","0"
"0","","0","Filter Menu Functionality","4","0","Apply filters and validate the results","0"
"0","","1","Add to Cart","0","0","Add a product to the cart","0"
"0","","1","Update User Profile","0","0","Successfully update user profile","0"
"0","","1","Adding an address","0","0","Successfully add a new address","0"
"0","","1","Remove an existing address","0","0","Remove an existing address","0"
"0","","0","Product Card","1","0","Navigate to product details page","0"
"0","","0","Shop By Brand","1","0","Validate all brand items","0"
"1","","0","Filter Menu Functionality","0","0","Clear all filters after applying a combination","0"
