"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  This feature tests the login functionality by verifying different scenarios such as valid login,
   invalid credentials, and missing inputs.","2328","Verify login functionality by valid and invalid credentials","","Thu Jan 02 12:21:50 UTC 2025","failed","Thu Jan 02 12:21:52 UTC 2025","","Login Page Testing","Verify login functionality by valid and invalid credentials",""
"","1491","Apply filters and validate the results","","Thu Jan 02 12:20:46 UTC 2025","passed","Thu Jan 02 12:20:48 UTC 2025","","Filter Menu Functionality","Apply filters and validate the results",""
"","5251","Verify each link in the My Account dropdown","","Thu Jan 02 12:21:52 UTC 2025","passed","Thu Jan 02 12:21:57 UTC 2025","","My Account Dropdown Links","Verify each link in the My Account dropdown",""
"  As a user, I want to add products to my cart so that I can purchase them later.","1598","Add a product to the cart","","Thu Jan 02 12:21:21 UTC 2025","failed","Thu Jan 02 12:21:22 UTC 2025","","Add to Cart","Add a product to the cart",""
"","1524","Clear all filters after applying a combination","","Thu Jan 02 12:20:48 UTC 2025","broken","Thu Jan 02 12:20:49 UTC 2025","","Filter Menu Functionality","Clear all filters after applying a combination",""
"","1498","Apply filters and validate the results","","Thu Jan 02 12:20:42 UTC 2025","passed","Thu Jan 02 12:20:44 UTC 2025","","Filter Menu Functionality","Apply filters and validate the results",""
"","2807","User searches for multiple-word terms","","Thu Jan 02 12:21:08 UTC 2025","passed","Thu Jan 02 12:21:10 UTC 2025","","Search Bar Functionality","User searches for multiple-word terms",""
"  As a user, I want to clear cart","2343","Clear all products from the cart","","Thu Jan 02 12:21:47 UTC 2025","failed","Thu Jan 02 12:21:50 UTC 2025","","Clear all products from the cart","Clear all products from the cart",""
"  As a user,
  I want to navigate through categories
  So that I can view products under those categories.","12104","Navigate to a category and verify products are displayed","","Thu Jan 02 12:21:22 UTC 2025","passed","Thu Jan 02 12:21:35 UTC 2025","","Category Navigation","Navigate to a category and verify products are displayed",""
"  As a user,
  I want to navigate through categories
  So that I can view products under those categories.","12787","Navigate to a category and verify products are displayed","","Thu Jan 02 12:21:35 UTC 2025","passed","Thu Jan 02 12:21:47 UTC 2025","","Category Navigation","Navigate to a category and verify products are displayed",""
"  As a user, I should be able to update my profile.","1646","Successfully update user profile","","Thu Jan 02 12:22:46 UTC 2025","failed","Thu Jan 02 12:22:47 UTC 2025","","Update User Profile","Successfully update user profile",""
"","9564","Display quantity selector when Add button is clicked","","Thu Jan 02 12:20:49 UTC 2025","broken","Thu Jan 02 12:20:59 UTC 2025","","Product Card","Display quantity selector when Add button is clicked",""
"","2630","User searches for multiple-word terms","","Thu Jan 02 12:21:10 UTC 2025","passed","Thu Jan 02 12:21:13 UTC 2025","","Search Bar Functionality","User searches for multiple-word terms",""
"  As a user, I want to manage my saved addresses so that I can delete unnecessary ones.","2034","Remove an existing address","","Thu Jan 02 12:21:57 UTC 2025","failed","Thu Jan 02 12:21:59 UTC 2025","","Remove an existing address","Remove an existing address",""
"","2278","User searches for multiple-word terms","","Thu Jan 02 12:21:17 UTC 2025","passed","Thu Jan 02 12:21:19 UTC 2025","","Search Bar Functionality","User searches for multiple-word terms",""
"","46215","Validate all brand items","","Thu Jan 02 12:21:59 UTC 2025","passed","Thu Jan 02 12:22:46 UTC 2025","","Shop By Brand","Validate all brand items",""
"","4461","Apply filters and validate the results","","Thu Jan 02 12:20:38 UTC 2025","passed","Thu Jan 02 12:20:42 UTC 2025","","Filter Menu Functionality","Apply filters and validate the results",""
"","1629","Successfully add a new address","","Thu Jan 02 12:21:19 UTC 2025","failed","Thu Jan 02 12:21:21 UTC 2025","","Adding an address","Successfully add a new address",""
"","2227","Apply filters and validate the results","","Thu Jan 02 12:20:44 UTC 2025","passed","Thu Jan 02 12:20:46 UTC 2025","","Filter Menu Functionality","Apply filters and validate the results",""
"","3832","User searches for multiple-word terms","","Thu Jan 02 12:21:13 UTC 2025","passed","Thu Jan 02 12:21:17 UTC 2025","","Search Bar Functionality","User searches for multiple-word terms",""
"","9010","Navigate to product details page","","Thu Jan 02 12:20:59 UTC 2025","passed","Thu Jan 02 12:21:08 UTC 2025","","Product Card","Navigate to product details page",""
