"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9010","Navigate to product details page","","Thu Jan 02 15:22:21 UTC 2025","passed","Thu Jan 02 15:22:30 UTC 2025","","Product Card","Navigate to product details page",""
"","44491","Validate all brand items","","Thu Jan 02 15:23:20 UTC 2025","passed","Thu Jan 02 15:24:04 UTC 2025","","Shop By Brand","Validate all brand items",""
"","3498","User searches for multiple-word terms","","Thu Jan 02 15:22:33 UTC 2025","passed","Thu Jan 02 15:22:36 UTC 2025","","Search Bar Functionality","User searches for multiple-word terms",""
"","3586","User searches for multiple-word terms","","Thu Jan 02 15:22:36 UTC 2025","passed","Thu Jan 02 15:22:40 UTC 2025","","Search Bar Functionality","User searches for multiple-word terms",""
"","4134","Apply filters and validate the results","","Thu Jan 02 15:22:01 UTC 2025","passed","Thu Jan 02 15:22:05 UTC 2025","","Filter Menu Functionality","Apply filters and validate the results",""
"","2639","User searches for multiple-word terms","","Thu Jan 02 15:22:30 UTC 2025","passed","Thu Jan 02 15:22:33 UTC 2025","","Search Bar Functionality","User searches for multiple-word terms",""
"","1687","Successfully add a new address","","Thu Jan 02 15:22:42 UTC 2025","failed","Thu Jan 02 15:22:44 UTC 2025","","Adding an address","Successfully add a new address",""
"  As a user, I want to clear cart","1626","Clear all products from the cart","","Thu Jan 02 15:23:10 UTC 2025","failed","Thu Jan 02 15:23:11 UTC 2025","","Clear all products from the cart","Clear all products from the cart",""
"","2307","User searches for multiple-word terms","","Thu Jan 02 15:22:40 UTC 2025","passed","Thu Jan 02 15:22:42 UTC 2025","","Search Bar Functionality","User searches for multiple-word terms",""
"","1766","Apply filters and validate the results","","Thu Jan 02 15:22:09 UTC 2025","passed","Thu Jan 02 15:22:11 UTC 2025","","Filter Menu Functionality","Apply filters and validate the results",""
"  As a user,
  I want to navigate through categories
  So that I can view products under those categories.","12098","Navigate to a category and verify products are displayed","","Thu Jan 02 15:22:58 UTC 2025","passed","Thu Jan 02 15:23:10 UTC 2025","","Category Navigation","Navigate to a category and verify products are displayed",""
"  As a user, I want to add products to my cart so that I can purchase them later.","1543","Add a product to the cart","","Thu Jan 02 15:22:44 UTC 2025","failed","Thu Jan 02 15:22:45 UTC 2025","","Add to Cart","Add a product to the cart",""
"  As a user, I want to manage my saved addresses so that I can delete unnecessary ones.","1513","Remove an existing address","","Thu Jan 02 15:23:18 UTC 2025","failed","Thu Jan 02 15:23:20 UTC 2025","","Remove an existing address","Remove an existing address",""
"","8418","Display quantity selector when Add button is clicked","","Thu Jan 02 15:22:13 UTC 2025","broken","Thu Jan 02 15:22:21 UTC 2025","","Product Card","Display quantity selector when Add button is clicked",""
"  As a user, I should be able to update my profile.","1587","Successfully update user profile","","Thu Jan 02 15:24:04 UTC 2025","failed","Thu Jan 02 15:24:06 UTC 2025","","Update User Profile","Successfully update user profile",""
"","1576","Apply filters and validate the results","","Thu Jan 02 15:22:05 UTC 2025","passed","Thu Jan 02 15:22:07 UTC 2025","","Filter Menu Functionality","Apply filters and validate the results",""
"","5325","Verify each link in the My Account dropdown","","Thu Jan 02 15:23:13 UTC 2025","passed","Thu Jan 02 15:23:18 UTC 2025","","My Account Dropdown Links","Verify each link in the My Account dropdown",""
"","2323","Apply filters and validate the results","","Thu Jan 02 15:22:07 UTC 2025","passed","Thu Jan 02 15:22:09 UTC 2025","","Filter Menu Functionality","Apply filters and validate the results",""
"","1855","Clear all filters after applying a combination","","Thu Jan 02 15:22:11 UTC 2025","broken","Thu Jan 02 15:22:13 UTC 2025","","Filter Menu Functionality","Clear all filters after applying a combination",""
"  As a user,
  I want to navigate through categories
  So that I can view products under those categories.","12309","Navigate to a category and verify products are displayed","","Thu Jan 02 15:22:45 UTC 2025","passed","Thu Jan 02 15:22:58 UTC 2025","","Category Navigation","Navigate to a category and verify products are displayed",""
"  This feature tests the login functionality by verifying different scenarios such as valid login,
   invalid credentials, and missing inputs.","1580","Verify login functionality by valid and invalid credentials","","Thu Jan 02 15:23:11 UTC 2025","failed","Thu Jan 02 15:23:13 UTC 2025","","Login Page Testing","Verify login functionality by valid and invalid credentials",""
